Y-Axis Intensity. Match cells 1:1 with HyTES_WMX for X-Axis spectral wavelength location.,,,,,,,
BND,wvl1,wvl2,wvl3,wvl4,wvl5,wvl6,wvl7
130,0.0035668,0.019255,0.18973,0.53554,0.20086,0.039546,0.011512
131,0.0036131,0.019615,0.19003,0.53435,0.20113,0.039683,0.011581
132,0.0036995,0.019959,0.19037,0.53309,0.20139,0.03983,0.011666
133,0.0036973,0.020255,0.19064,0.53206,0.20174,0.039938,0.011664
134,0.0037573,0.02059,0.19078,0.53082,0.20217,0.040131,0.011763
135,0.0037829,0.020869,0.19091,0.52979,0.20254,0.040274,0.011832
136,0.0038289,0.021219,0.19116,0.52847,0.20296,0.040459,0.01191
137,0.0038669,0.021524,0.19126,0.52733,0.20344,0.040623,0.011958
138,0.0039199,0.021829,0.19132,0.52616,0.20398,0.040784,0.012006
139,0.0039568,0.022132,0.1913,0.525,0.20455,0.040977,0.012084
140,0.0039314,0.022359,0.19139,0.52395,0.20513,0.04113,0.012105
141,0.0040223,0.022688,0.19142,0.5225,0.20571,0.041398,0.012261
142,0.0040401,0.022908,0.19137,0.5212,0.20646,0.041668,0.012347
143,0.0040862,0.023174,0.19117,0.51984,0.20731,0.041944,0.012475
144,0.0041847,0.023441,0.19095,0.51838,0.20812,0.042278,0.012639
145,0.0042156,0.023678,0.19087,0.51696,0.20895,0.042586,0.012745
146,0.0043133,0.023983,0.19069,0.51534,0.2098,0.042971,0.012902
147,0.0043478,0.024175,0.19054,0.51391,0.21077,0.043266,0.012994
148,0.0044562,0.024466,0.1904,0.51217,0.21169,0.04364,0.013179
149,0.0046046,0.024921,0.19106,0.51044,0.21184,0.043843,0.013294
150,0.0047661,0.025347,0.19169,0.50878,0.212,0.044014,0.013403
151,0.0048714,0.025684,0.1923,0.50726,0.21221,0.044183,0.013488
152,0.0049032,0.02599,0.19294,0.5058,0.21247,0.044357,0.013536
153,0.0049893,0.026368,0.19355,0.50411,0.21275,0.044567,0.013661
154,0.0050748,0.026709,0.19422,0.50255,0.21298,0.044736,0.013733
155,0.0051844,0.027028,0.1949,0.50085,0.21327,0.044953,0.013814
156,0.0052393,0.027305,0.19549,0.49929,0.21363,0.045148,0.013888
157,0.0052952,0.027544,0.19606,0.49777,0.21399,0.04538,0.013965
158,0.0053566,0.027844,0.19671,0.4961,0.21431,0.045662,0.014019
159,0.005398,0.028088,0.19743,0.49464,0.21464,0.045807,0.014
160,0.0055179,0.028396,0.19811,0.493,0.21488,0.046068,0.014032
161,0.0055169,0.028618,0.19879,0.49152,0.21526,0.04626,0.014034
162,0.0056007,0.028864,0.19938,0.49003,0.2156,0.046469,0.014059
163,0.0056257,0.029007,0.20013,0.48873,0.2157,0.046699,0.014111
164,0.0055506,0.029141,0.20078,0.48733,0.21605,0.046983,0.014159
165,0.0055491,0.029287,0.20138,0.48589,0.21637,0.047279,0.014244
166,0.0054227,0.029401,0.20195,0.48461,0.21677,0.047571,0.014279
167,0.0053782,0.029666,0.20328,0.4835,0.21625,0.047616,0.014314
168,0.0053902,0.029975,0.20463,0.48231,0.21562,0.047696,0.014384
169,0.0054135,0.030207,0.20508,0.48069,0.21602,0.048071,0.014521
170,0.0053752,0.030355,0.2054,0.47913,0.21675,0.048371,0.014623
171,0.0054086,0.030532,0.20575,0.47752,0.21726,0.048732,0.014798
172,0.0053938,0.030659,0.20619,0.47607,0.21782,0.049046,0.014819
173,0.0053783,0.030771,0.20656,0.4747,0.2184,0.049331,0.014856
174,0.0054793,0.031286,0.20845,0.47308,0.21762,0.049271,0.014816
175,0.0053585,0.03167,0.21031,0.472,0.21696,0.049075,0.014622
176,0.0054503,0.032144,0.21199,0.4705,0.21619,0.049048,0.014673
177,0.0056277,0.032639,0.21365,0.4689,0.21535,0.04907,0.014765
178,0.0055791,0.033,0.2153,0.46773,0.2147,0.048988,0.014707
179,0.0056511,0.033366,0.21669,0.46628,0.21407,0.049109,0.014837
180,0.0056369,0.0337,0.21811,0.4651,0.21346,0.049144,0.014848
181,0.0058448,0.034285,0.21931,0.46324,0.21313,0.049225,0.014967
182,0.0058406,0.034653,0.22059,0.46181,0.21293,0.049283,0.014881
183,0.005999,0.035153,0.2215,0.46005,0.21275,0.049468,0.015077
184,0.0060625,0.035479,0.2224,0.45856,0.21275,0.049627,0.015126
185,0.0059854,0.035715,0.22333,0.45721,0.21282,0.049773,0.015168
186,0.0059971,0.036007,0.2241,0.45577,0.21286,0.049993,0.015282
187,0.0060705,0.0362,0.22484,0.45438,0.21312,0.050146,0.015243
188,0.0061043,0.036486,0.22527,0.4529,0.21337,0.050451,0.015414
189,0.0063215,0.036858,0.22572,0.45137,0.21359,0.050709,0.015434
190,0.0064255,0.037179,0.22626,0.4501,0.21402,0.050631,0.015389
191,0.0063958,0.037284,0.22614,0.44977,0.21428,0.050639,0.015486
192,0.0065824,0.037586,0.22558,0.45005,0.21381,0.050779,0.015614
193,0.0067653,0.037978,0.22458,0.4487,0.21483,0.051219,0.015927
194,0.006801,0.037483,0.2237,0.44814,0.21615,0.051621,0.016106
195,0.0067339,0.037411,0.22272,0.44718,0.21753,0.052155,0.016269
196,0.0068933,0.03766,0.22159,0.4457,0.21884,0.052692,0.016623
197,0.0071371,0.037783,0.22039,0.44398,0.21997,0.053574,0.017153
198,0.0071326,0.037681,0.2191,0.44211,0.22186,0.05444,0.017679
199,0.0074238,0.037781,0.21772,0.4406,0.22317,0.055193,0.018103
200,0.0075873,0.037629,0.21677,0.43928,0.22449,0.055921,0.018318
201,0.007417,0.037603,0.21573,0.43793,0.22613,0.056719,0.018477
202,0.0072363,0.037582,0.21476,0.43655,0.22772,0.057523,0.018631
203,0.007103,0.037603,0.21388,0.43507,0.22923,0.058318,0.018791
204,0.0069083,0.037602,0.2131,0.4338,0.23063,0.059047,0.018917
205,0.0067634,0.037629,0.21246,0.43241,0.23191,0.059779,0.019051
206,0.0065671,0.037477,0.21087,0.43137,0.23389,0.060621,0.019196
207,0.0064021,0.037339,0.2093,0.4303,0.23585,0.061465,0.019354
208,0.006214,0.037185,0.20784,0.42921,0.23774,0.062305,0.019511
209,0.0060445,0.037067,0.20644,0.4281,0.23954,0.063141,0.019671
210,0.0058407,0.036923,0.20514,0.42702,0.24131,0.063954,0.019812
211,0.0056304,0.036789,0.20387,0.42597,0.24304,0.064749,0.019952
212,0.0054445,0.036678,0.20264,0.42485,0.2447,0.065557,0.020136
213,0.0052236,0.036558,0.20153,0.4238,0.2463,0.066333,0.02026
214,0.0050364,0.036484,0.20047,0.42268,0.24782,0.067109,0.020402
215,0.0048347,0.036371,0.19944,0.42166,0.24931,0.067865,0.020525
216,0.0046209,0.036276,0.19846,0.42062,0.25076,0.068612,0.020652
217,0.0044271,0.036223,0.19753,0.41957,0.25212,0.069347,0.020791
218,0.0044123,0.03623,0.19678,0.41831,0.25332,0.069993,0.020953
219,0.0043559,0.036249,0.19629,0.41726,0.25422,0.070543,0.021087
220,0.0042399,0.036329,0.19635,0.41619,0.25469,0.071023,0.021177
221,0.0041574,0.036465,0.19664,0.41514,0.25492,0.071416,0.021271
222,0.0040955,0.036693,0.19718,0.41409,0.25473,0.071828,0.021392
223,0.003903,0.036536,0.19633,0.41305,0.25606,0.072564,0.021558
224,0.0037393,0.036529,0.19567,0.41188,0.25715,0.073274,0.021751
225,0.0036403,0.036541,0.19532,0.41082,0.25791,0.07391,0.021851
226,0.0035124,0.036666,0.19524,0.40977,0.25834,0.074469,0.022
227,0.0034041,0.036822,0.19552,0.40882,0.25844,0.074869,0.022122
228,0.003215,0.036969,0.19591,0.40782,0.25837,0.075342,0.022383
229,0.0030382,0.037213,0.19673,0.40687,0.25783,0.075679,0.022638
230,0.0030572,0.037801,0.19796,0.40579,0.2568,0.075816,0.02278
231,0.0031984,0.03843,0.19966,0.40492,0.25532,0.075724,0.022747
232,0.0033138,0.038738,0.19949,0.40351,0.25581,0.076285,0.022848
233,0.0032856,0.039028,0.20006,0.40267,0.25568,0.076474,0.022806
234,0.0032375,0.039546,0.20112,0.40145,0.2551,0.076672,0.022873
235,0.0029837,0.039474,0.19996,0.40038,0.25639,0.077559,0.023249
236,0.0028333,0.038805,0.19633,0.39906,0.25992,0.079234,0.023809
237,0.0025165,0.038278,0.19315,0.39776,0.26318,0.080847,0.024265
238,0.0022531,0.037893,0.19069,0.39661,0.26604,0.082104,0.024413
239,0.0016701,0.036614,0.18544,0.39577,0.27125,0.08422,0.025036
240,0.00085332,0.035413,0.1811,0.39505,0.27619,0.086111,0.025282
241,0.00040913,0.034731,0.17704,0.39339,0.28053,0.088147,0.025755
242,-0.00020919,0.034359,0.17394,0.39153,0.28396,0.09013,0.026288
243,-0.0016213,0.033367,0.17172,0.39068,0.28724,0.091896,0.026718
244,-0.0027002,0.032304,0.16864,0.38958,0.29117,0.094087,0.026926
245,-0.0038779,0.031211,0.16475,0.38848,0.2961,0.096624,0.026715
246,-0.0051122,0.030286,0.16227,0.38763,0.2996,0.098811,0.026523
247,-0.0070878,0.029755,0.16182,0.39125,0.30184,0.098463,0.02396
248,-0.010441,0.029699,0.16237,0.39152,0.30501,0.09908,0.022753
249,-0.010442,0.029697,0.16238,0.39154,0.305,0.099075,0.022753
250,-0.010442,0.029695,0.16239,0.39155,0.30498,0.09907,0.022753
251,-0.010443,0.029694,0.16239,0.39157,0.30497,0.099065,0.022752
252,-0.010443,0.029692,0.1624,0.39159,0.30495,0.09906,0.022752
253,-0.010444,0.02969,0.16241,0.3916,0.30494,0.099055,0.022751
254,-0.010444,0.029688,0.16241,0.39162,0.30492,0.09905,0.022751
255,-0.010445,0.029686,0.16242,0.39163,0.30491,0.099045,0.02275
256,-0.010445,0.029685,0.16242,0.39165,0.3049,0.09904,0.02275
