X-Axis Wavelength location in microns. Match cells 1:1 with HyTES_SRF for Y-Axis intensity strength.,,,,,,,
BND,wvl1,wvl2,wvl3,wvl4,wvl5,wvl6,wvl7
114,9.4301,9.4481,9.4661,9.4841,9.5021,9.5201,9.5381
115,9.4477,9.4657,9.4837,9.5017,9.5197,9.5377,9.5557
116,9.4663,9.4843,9.5023,9.5193,9.5373,9.5553,9.5733
117,9.4829,9.5009,9.5189,9.5369,9.5549,9.5729,9.5909
118,9.5006,9.5186,9.5366,9.5546,9.5726,9.5906,9.6076
119,9.5192,9.5372,9.5552,9.5722,9.5902,9.6082,9.6262
120,9.5358,9.5538,9.5718,9.5898,9.6078,9.6258,9.6438
121,9.5534,9.5714,9.5894,9.6074,9.6254,9.6424,9.6604
122,9.572,9.59,9.607,9.625,9.643,9.661,9.679
123,9.5887,9.6067,9.6247,9.6427,9.6607,9.6787,9.6967
124,9.6063,9.6243,9.6423,9.6603,9.6783,9.6953,9.7133
125,9.6249,9.6419,9.6599,9.6779,9.6959,9.7139,9.7319
126,9.6415,9.6595,9.6775,9.6955,9.7135,9.7315,9.7495
127,9.6591,9.6771,9.6951,9.7131,9.7301,9.7481,9.7661
128,9.6778,9.6948,9.7128,9.7308,9.7488,9.7668,9.7848
129,9.6944,9.7124,9.7304,9.7484,9.7664,9.7844,9.8024
130,9.712,9.73,9.748,9.766,9.783,9.801,9.819
131,9.7296,9.7476,9.7656,9.7836,9.8016,9.8196,9.8376
132,9.7472,9.7652,9.7832,9.8012,9.8192,9.8372,9.8552
133,9.7659,9.7839,9.8019,9.8189,9.8369,9.8549,9.8729
134,9.7825,9.8005,9.8185,9.8365,9.8545,9.8725,9.8905
135,9.8001,9.8181,9.8361,9.8541,9.8721,9.8901,9.9071
136,9.8187,9.8367,9.8547,9.8717,9.8897,9.9077,9.9257
137,9.8353,9.8533,9.8713,9.8893,9.9073,9.9253,9.9433
138,9.853,9.871,9.889,9.907,9.925,9.942,9.96
139,9.8716,9.8896,9.9066,9.9246,9.9426,9.9606,9.9786
140,9.8882,9.9062,9.9242,9.9422,9.9602,9.9782,9.9962
141,9.9058,9.9238,9.9418,9.9598,9.9778,9.9948,10.0128
142,9.9245,9.9415,9.9595,9.9775,9.9955,10.0135,10.0315
143,9.9411,9.9591,9.9771,9.9951,10.0131,10.0311,10.0491
144,9.9587,9.9767,9.9947,10.0127,10.0307,10.0487,10.0667
145,9.9763,9.9943,10.0123,10.0303,10.0483,10.0663,10.0843
146,9.9939,10.0119,10.0299,10.0479,10.0659,10.0839,10.1019
147,10.0116,10.0296,10.0476,10.0656,10.0836,10.1016,10.1196
148,10.0292,10.0472,10.0652,10.0832,10.1012,10.1192,10.1372
149,10.0468,10.0648,10.0828,10.1008,10.1188,10.1368,10.1548
150,10.0644,10.0824,10.1004,10.1184,10.1364,10.1544,10.1724
151,10.082,10.1,10.118,10.136,10.154,10.172,10.19
152,10.0997,10.1177,10.1357,10.1537,10.1717,10.1897,10.2077
153,10.1173,10.1353,10.1533,10.1713,10.1893,10.2073,10.2253
154,10.1349,10.1529,10.1709,10.1889,10.2069,10.2249,10.2429
155,10.1525,10.1705,10.1885,10.2065,10.2245,10.2425,10.2605
156,10.1701,10.1881,10.2061,10.2241,10.2421,10.2601,10.2781
157,10.1878,10.2058,10.2238,10.2418,10.2598,10.2778,10.2958
